fiscal_year,corp_code,stock_code,company_name,dart_corp_cls,marcap_matched,observed_markets,observed_names,first_trade_date,last_trade_date,observed_trading_rows,positive_volume_days,median_daily_amount_krw,median_marcap_raw,min_marcap_raw,max_marcap_raw,flag_spac,flag_reit,flag_fund_etf_etn,flag_preferred_name,security_review_status,modern_oos_protected
2015,00109514,004870,티웨이홀딩스,Y,True,KOSPI,티웨이홀딩스,2015-01-02,2015-12-30,248,248,1714335375.0,172049142500.0,108122626250.0,272279606250.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109587,004780,대륙제관,K,True,KOSDAQ,대륙제관,2015-01-02,2015-12-30,248,248,697884110.0,116968028645.0,89216946390.0,152670710400.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109693,000210,DL,Y,True,KOSPI,대림산업,2015-01-02,2015-12-30,248,248,16300885700.0,2442960000000.0,1858320000000.0,3062400000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109718,003960,사조대림,Y,True,KOSPI,사조대림,2015-01-02,2015-12-30,248,248,412947975.0,111462752500.0,66460411250.0,153782835000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109754,005750,대림바스,Y,True,KOSPI,대림B&Co,2015-01-02,2015-12-30,248,247,5095402950.0,252677253600.0,53995317440.0,449548488000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109781,017650,대림제지,K,True,KOSDAQ,대림제지,2015-01-02,2015-12-30,248,248,108435255.0,41737500000.0,34200000000.0,51390000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109824,006570,대림통상,Y,True,KOSPI,대림통상,2015-01-02,2015-12-30,248,248,63333200.0,102312000000.0,63640500000.0,139461000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00110431,067290,JW신약,K,True,KOSDAQ,JW중외신약,2015-01-02,2015-12-30,248,248,6053142920.0,270191109360.0,186160519060.0,443160273300.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00110583,025440,DH오토웨어,K,True,KOSDAQ,대성엘텍,2015-01-02,2015-12-30,248,248,54503102.5,61879505400.0,49709869338.0,74255406480.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00110608,155660,DSR,Y,True,KOSPI,DSR,2015-01-02,2015-12-30,248,248,84371265.0,59200000000.0,53200000000.0,67200000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00110750,019570,GMI벤처,K,True,KOSDAQ,제미니투자,2015-01-02,2015-12-30,248,248,223184738.0,9667773720.0,7641447410.0,18896103180.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00110875,020180,대신정보통신,K,True,KOSDAQ,대신정보통신,2015-01-02,2015-12-30,248,248,487895061.5,35335387342.5,23710640555.0,48420432900.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00110884,032790,엠젠솔루션,K,True,KOSDAQ,엠젠|지아이블루,2015-01-02,2015-12-30,248,242,669345680.0,42315581835.0,24168937410.0,63222220600.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00110893,003540,대신증권,Y,True,KOSPI,대신증권,2015-01-02,2015-12-30,248,248,2140886075.0,562315405000.0,444267250000.0,789526370000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111111,009190,대양금속,Y,True,KOSPI,대양금속,2015-01-02,2015-12-30,248,239,83430696.0,34336240467.5,22972946537.0,50195580235.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111193,108380,대양전기공업,K,True,KOSDAQ,대양전기공업,2015-01-02,2015-12-30,248,248,118569800.0,124136145675.0,104762296350.0,138726328500.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111218,044180,KD,K,True,KOSDAQ,KD건설|국제디와이|케이디건설,2015-01-02,2015-12-30,248,248,2183131940.0,23199766598.0,17106726042.0,54379070752.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111421,005870,휴니드테크놀러지스,Y,True,KOSPI,휴니드,2015-01-02,2015-12-30,248,248,515596795.0,96859751175.0,47968427650.0,204040427250.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111458,014160,대영포장,Y,True,KOSPI,대영포장,2015-01-02,2015-12-30,248,248,2402293528.0,106389670750.0,84540859700.0,127089096850.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111689,009320,아진전자부품,Y,True,KOSPI,대우부품,2015-01-02,2015-12-30,248,248,219744291.0,37902287000.0,33050794264.0,61467477915.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111704,042660,한화오션,Y,True,KOSPI,대우조선해양,2015-01-02,2015-12-30,248,248,24977866905.0,2578990464050.0,970351143060.0,4134040372800.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111722,006800,미래에셋증권,Y,True,KOSPI,대우증권,2015-01-02,2015-12-30,248,248,24239200100.0,3969415825650.0,3070988375400.0,5864280993450.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111810,003090,대웅,Y,True,KOSPI,대웅,2015-01-02,2015-12-30,248,248,422706200.0,709332156000.0,488974051800.0,1302380352000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111847,000430,대원강업,Y,True,KOSPI,대원강업,2015-01-02,2015-12-30,248,248,91202855.0,313720000000.0,283340000000.0,411060000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
