corp_code,company_name,business_year,fiscal_quarter,statement_basis,operating_profit_q,prior_year_same_q_operating_profit,op_turnaround_yoy,net_income_ttm,ttm_exact_four_quarters,ttm_same_basis,equity_q_end,fcf_q,prior_year_same_q_fcf,fcf_yoy_improvement,base_a_accounting_only,signal_date_status,mcap_status,modern_oos_protected
00101220,KG케미칼,2016,Q1,CFS,13458855306.0,,False,,False,False,462816519386.0,28988804063.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101220,KG케미칼,2016,Q2,CFS,17221922805.0,,False,,False,False,500620236950.0,2263998036.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101220,KG케미칼,2016,Q3,CFS,16349839613.0,,False,,False,False,516131964347.0,28644517425.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101220,KG케미칼,2016,Q4,CFS,6278050667.0,,False,28347116846.0,True,True,510212080643.0,-13055846538.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q1,,,,False,,False,False,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q2,,,,False,,False,False,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q3,,,,False,,False,False,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q4,,,,False,,True,True,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q1,,,,False,,False,False,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q2,,,,False,,False,False,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q3,,,,False,,False,False,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q4,,,,False,,True,True,,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q1,CFS,15873562772.0,,False,,False,False,216032172682.0,-5376346017.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q2,CFS,12896343315.0,,False,,False,False,225626597408.0,-1056246898.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q3,CFS,7231330377.0,,False,,False,False,227693633396.0,-2225865252.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q4,CFS,9830700304.0,,False,,True,True,238762190243.0,47095627539.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q1,CFS,7176488273.0,,False,,False,False,202024358865.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q2,CFS,6558162724.0,,False,,False,False,205927158824.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q3,CFS,7026616243.0,,False,,False,False,206191217760.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q4,CFS,5514192682.0,,False,16949412043.0,True,True,208571469647.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q1,CFS,7185874454.0,,False,,False,False,662563977436.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q2,CFS,10443005565.0,,False,,False,False,674031401297.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q3,CFS,10546938903.0,,False,,False,False,679548714477.0,19521074432.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q4,CFS,15260750058.0,,False,,True,True,679843399077.0,18593626694.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101664,경보제약,2016,Q1,OFS,5423636135.0,,False,,False,False,120398398413.0,12955183969.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101664,경보제약,2016,Q2,OFS,4277501197.0,,False,,False,False,123498181275.0,-14162351456.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
