corp_code,fiscal_year,company_name,basis,filing_date,receipt_no,period_to,stock_code,corp_cls,first_period,seed_source
00599151,2020,SV인베스트먼트,,20200629,20200629000517,,289080,K,Q1,historical_dart_periodic_filing_universe
00599285,2020,서플러스글로벌,,20200515,20200515000399,,140070,K,Q1,historical_dart_periodic_filing_universe
00599595,2020,BGF에코머티리얼즈,,20200514,20200514000032,,126600,K,Q1,historical_dart_periodic_filing_universe
00599957,2020,슈프리마에이치큐,,20200515,20200515000237,,094840,K,Q1,historical_dart_periodic_filing_universe
00601191,2020,하나기술,,20210323,20210323001057,,299030,K,FY,historical_dart_periodic_filing_universe
00602136,2020,디와이피엔에프,,20200515,20200515002485,,104460,K,Q1,historical_dart_periodic_filing_universe
00602172,2020,와이엠티,,20200515,20200515000074,,251370,K,Q1,historical_dart_periodic_filing_universe
00602279,2020,그린플러스,,20200515,20200515001803,,186230,K,Q1,historical_dart_periodic_filing_universe
00603348,2020,케이아이엔엑스,,20200515,20200515001593,,093320,K,Q1,historical_dart_periodic_filing_universe
00604268,2020,에이프로,,20200813,20200813000742,,262260,K,H1,historical_dart_periodic_filing_universe
00604426,2020,인터로조,,20200515,20200515000716,,119610,K,Q1,historical_dart_periodic_filing_universe
00604815,2020,에스디시스템,,20200514,20200514000800,,121890,K,Q1,historical_dart_periodic_filing_universe
00605124,2020,알파칩스,,20200515,20200515001245,,117670,K,Q1,historical_dart_periodic_filing_universe
00605328,2020,씨앤지하이테크,,20200513,20200513000742,,264660,K,Q1,historical_dart_periodic_filing_universe
00605522,2020,아리바이오홀딩스,,20210319,20210319001413,,290690,K,FY,historical_dart_periodic_filing_universe
00606293,2020,나이스디앤비,,20200515,20200515002065,,130580,K,Q1,historical_dart_periodic_filing_universe
00606664,2020,케이엔더블유,,20200515,20200515001927,,105330,K,Q1,historical_dart_periodic_filing_universe
00606770,2020,참좋은여행,,20200514,20200514000978,,094850,K,Q1,historical_dart_periodic_filing_universe
00606886,2020,엔지켐생명과학,,20200515,20200515001820,,183490,K,Q1,historical_dart_periodic_filing_universe
00608316,2020,대한과학,,20200515,20200515001104,,131220,K,Q1,historical_dart_periodic_filing_universe
00608440,2020,티앤엘,,20210317,20210317000997,,340570,K,FY,historical_dart_periodic_filing_universe
00608699,2020,탑코미디어,,20200515,20200515002168,,134580,K,Q1,historical_dart_periodic_filing_universe
00608802,2020,텔콘RF제약,,20200515,20200515001601,,200230,K,Q1,historical_dart_periodic_filing_universe
00608839,2020,에이루트,,20200515,20200515001366,,096690,K,Q1,historical_dart_periodic_filing_universe
00609324,2020,뷰웍스,,20200515,20200515000438,,100120,K,Q1,historical_dart_periodic_filing_universe
00610083,2020,비아트론,,20200515,20200515002082,,141000,K,Q1,historical_dart_periodic_filing_universe
00611736,2020,엑시콘,,20200514,20200514000625,,092870,K,Q1,historical_dart_periodic_filing_universe
00611912,2020,아모그린텍,,20200515,20200515001000,,125210,K,Q1,historical_dart_periodic_filing_universe
00612188,2020,에스티오,,20200515,20200515000613,,098660,K,Q1,historical_dart_periodic_filing_universe
00612294,2020,피엔티,,20200514,20200514000291,,137400,K,Q1,historical_dart_periodic_filing_universe
00612489,2020,아이쓰리시스템,,20200514,20200514000916,,214430,K,Q1,historical_dart_periodic_filing_universe
00613318,2020,와이지엔터테인먼트,,20200515,20200515002553,,122870,K,Q1,historical_dart_periodic_filing_universe
00614478,2020,휴메딕스,,20200513,20200513000073,,200670,K,Q1,historical_dart_periodic_filing_universe
00614593,2020,넥스트아이,,20200515,20200515002304,,137940,K,Q1,historical_dart_periodic_filing_universe
00615723,2020,MSDI,,20200513,20200513000914,,123010,K,Q1,historical_dart_periodic_filing_universe
00616290,2020,이엠넷,,20200515,20200515000436,,123570,K,Q1,historical_dart_periodic_filing_universe
00616962,2020,린드먼아시아,,20200515,20200515000592,,277070,K,Q1,historical_dart_periodic_filing_universe
00617314,2020,타이거일렉,,20200515,20200515000619,,219130,K,Q1,historical_dart_periodic_filing_universe
00617998,2020,폴라리스세원,,20200514,20200514000523,,234100,K,Q1,historical_dart_periodic_filing_universe
00618410,2020,KS인더스트리,,20200515,20200515001610,,101000,K,Q1,historical_dart_periodic_filing_universe
00619640,2020,에코앤드림,,20201113,20201113000491,,101360,K,Q3,historical_dart_periodic_filing_universe
00620558,2020,루트K,,20200515,20200515001546,,195990,K,Q1,historical_dart_periodic_filing_universe
00620868,2020,아이티센글로벌,,20200512,20200512000847,,124500,K,Q1,historical_dart_periodic_filing_universe
00622787,2020,바이오노트,,20210331,20210331003006,,377740,Y,FY,historical_dart_periodic_filing_universe
00623184,2020,오늘이엔엠,,20200514,20200514001002,,192410,K,Q1,historical_dart_periodic_filing_universe
00623661,2020,원익머트리얼즈,,20200515,20200515000322,,104830,K,Q1,historical_dart_periodic_filing_universe
00624509,2020,디바이스,,20200514,20200514000309,,187870,K,Q1,historical_dart_periodic_filing_universe
00624518,2020,다산솔루에타,,20200515,20200515001189,,154040,K,Q1,historical_dart_periodic_filing_universe
00624749,2020,에스피시스템스,,20200515,20200515001922,,317830,K,Q1,historical_dart_periodic_filing_universe
00624998,2020,제닉,,20200514,20200514000738,,123330,K,Q1,historical_dart_periodic_filing_universe
00625942,2020,한솔아이원스,,20200515,20200515000422,,114810,K,Q1,historical_dart_periodic_filing_universe
00626011,2020,아이텍,,20200515,20200515001318,,119830,K,Q1,historical_dart_periodic_filing_universe
00626464,2020,지엔씨에너지,,20200515,20200515000090,,119850,K,Q1,historical_dart_periodic_filing_universe
00627029,2020,DGI,,20200522,20200522000045,,099520,K,Q1,historical_dart_periodic_filing_universe
00628189,2020,웅진씽크빅,,20200515,20200515001879,,095720,Y,Q1,historical_dart_periodic_filing_universe
00628860,2020,네오위즈,,20200515,20200515002094,,095660,K,Q1,historical_dart_periodic_filing_universe
00629212,2020,딜리,,20200515,20200515001512,,131180,K,Q1,historical_dart_periodic_filing_universe
00631518,2020,SK이노베이션,,20200515,20200515001195,,096770,Y,Q1,historical_dart_periodic_filing_universe
00631837,2020,안트로젠,,20200514,20200514000965,,065660,K,Q1,historical_dart_periodic_filing_universe
00632304,2020,JW홀딩스,,20200515,20200515002482,,096760,Y,Q1,historical_dart_periodic_filing_universe
00632793,2020,전진바이오팜,,20200515,20200515000548,,110020,K,Q1,historical_dart_periodic_filing_universe
00632845,2020,노랑풍선,,20200515,20200515000037,,104620,K,Q1,historical_dart_periodic_filing_universe
00633835,2020,HJ중공업,,20200515,20200515002178,,097230,Y,Q1,historical_dart_periodic_filing_universe
00634728,2020,이크레더블,,20200515,20200515000423,,092130,K,Q1,historical_dart_periodic_filing_universe
00635134,2020,CJ제일제당,,20200515,20200515001115,,097950,Y,Q1,historical_dart_periodic_filing_universe
00636656,2020,바이오플러스,,20200529,20200529000594,,099430,K,Q1,historical_dart_periodic_filing_universe
00638487,2020,파수AI,,20200515,20200515000824,,150900,K,Q1,historical_dart_periodic_filing_universe
00641171,2020,인지소프트,,20200515,20200515000275,,100030,K,Q1,historical_dart_periodic_filing_universe
00641393,2020,엔시트론,,20200515,20200515000565,,101400,K,Q1,historical_dart_periodic_filing_universe
00642541,2020,제이에스링크,,20200515,20200515000450,,127120,K,Q1,historical_dart_periodic_filing_universe
00643656,2020,위메이드맥스,,20200514,20200514000961,,101730,K,Q1,historical_dart_periodic_filing_universe
00645089,2020,NHN벅스,,20200515,20200515002096,,104200,K,Q1,historical_dart_periodic_filing_universe
00646732,2020,진양홀딩스,,20200515,20200515001752,,100250,Y,Q1,historical_dart_periodic_filing_universe
00648721,2020,SNT에너지,,20200513,20200513000300,,100840,Y,Q1,historical_dart_periodic_filing_universe
00651017,2020,나우IB,,20200515,20200515001384,,293580,K,Q1,historical_dart_periodic_filing_universe
00651901,2020,에어부산,,20200515,20200515002231,,298690,Y,Q1,historical_dart_periodic_filing_universe
00652007,2020,메카로,,20200514,20200514000013,,241770,K,Q1,historical_dart_periodic_filing_universe
00652423,2020,인바이오젠,,20200515,20200515001224,,101140,Y,Q1,historical_dart_periodic_filing_universe
00653024,2020,진에어,,20200515,20200515001408,,272450,Y,Q1,historical_dart_periodic_filing_universe
00653194,2020,앱토크롬,,20200515,20200515000698,,109960,K,Q1,historical_dart_periodic_filing_universe
00654175,2020,피엠티,,20200515,20200515000481,,147760,K,Q1,historical_dart_periodic_filing_universe
00654272,2020,램테크놀러지,,20200511,20200511000702,,171010,K,Q1,historical_dart_periodic_filing_universe
00656289,2020,코스맥스엔비티,,20200515,20200515001249,,222040,K,Q1,historical_dart_periodic_filing_universe
00656951,2020,현대이지웰,,20200515,20200515000041,,090850,K,Q1,historical_dart_periodic_filing_universe
00657002,2020,에이디테크놀로지,,20200515,20200515000302,,200710,K,Q1,historical_dart_periodic_filing_universe
00657987,2020,KX,,20200515,20200515002452,,122450,K,Q1,historical_dart_periodic_filing_universe
00659161,2020,싸이맥스,,20200515,20200515000441,,160980,K,Q1,historical_dart_periodic_filing_universe
00659976,2020,영화테크,,20200515,20200515000444,,265560,K,Q1,historical_dart_periodic_filing_universe
00660033,2020,씨엔플러스,,20200515,20200515001419,,115530,K,Q1,historical_dart_periodic_filing_universe
00660121,2020,디에이테크놀로지,,20200515,20200515002386,,196490,K,Q1,historical_dart_periodic_filing_universe
00660291,2020,옵티시스,,20200515,20200515001293,,109080,K,Q1,historical_dart_periodic_filing_universe
00660459,2020,나노씨엠에스,,20210323,20210323000779,,247660,K,FY,historical_dart_periodic_filing_universe
00660750,2020,하나머티리얼즈,,20200515,20200515000394,,166090,K,Q1,historical_dart_periodic_filing_universe
00661847,2020,화인베스틸,,20200515,20200515002486,,133820,Y,Q1,historical_dart_periodic_filing_universe
00663669,2020,폴라리스우노,,20200615,20200615000198,,114630,K,Q1,historical_dart_periodic_filing_universe
00664048,2020,우리넷,,20200515,20200515001788,,115440,K,Q1,historical_dart_periodic_filing_universe
00664181,2020,인텔리안테크,,20200514,20200514000803,,189300,K,Q1,historical_dart_periodic_filing_universe
