corp_code,company_name,business_year,fiscal_quarter,statement_basis,operating_profit_q,prior_year_same_q_operating_profit,op_turnaround_yoy,net_income_ttm,ttm_exact_four_quarters,ttm_same_basis,equity_q_end,fcf_q,prior_year_same_q_fcf,fcf_yoy_improvement,base_a_accounting_only,receipt_no,receipt_date,signal_date_status,mcap_status,modern_oos_protected
00101220,KG케미칼,2016,Q4,CFS,6278050667.0,6773631163.0,False,28347116846.0,True,True,510212080643.0,-13055846538.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,,2015,Q1,CFS,-26660220113.0,,False,,False,False,-186219722761.0,-19849861810.0,,,False,20150515002883.0,20150515.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,,2015,Q2,CFS,-288442406516.0,,False,,False,False,-869073875463.0,5098945237.0,,,False,20150817001771.0,20150817.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,,2015,Q3,CFS,-2972407262.0,,False,,False,False,-848679983913.0,45591776137.0,,,False,20151116000013.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,,2015,Q4,CFS,-6872749643.0,,False,-696451806779.0,True,True,-950527655880.0,-12485015956.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q1,,,-26660220113.0,False,,True,False,,,-19849861810.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q2,,,-288442406516.0,False,,True,False,,,5098945237.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q3,,,-2972407262.0,False,,True,False,,,45591776137.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101257,경남기업,2016,Q4,,,-6872749643.0,False,,True,True,,,-12485015956.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,,2015,Q1,CFS,5691366559.0,,False,,False,False,310092188379.0,19007255511.0,,,False,20150514000343.0,20150514.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,,2015,Q2,CFS,6946520732.0,,False,,False,False,316381664069.0,-11343704210.0,,,False,20150813000087.0,20150813.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,,2015,Q3,CFS,-2849571387.0,,False,,False,False,315664174246.0,-6397231390.0,,,False,20151113000536.0,20151113.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,,2015,Q4,CFS,9979253795.0,,False,22511018977.0,True,True,323274220607.0,4336422195.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q1,,,5691366559.0,False,,True,False,,,19007255511.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q2,,,6946520732.0,False,,True,False,,,-11343704210.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q3,,,-2849571387.0,False,,True,False,,,-6397231390.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101336,경남에너지주식회사,2016,Q4,,,9979253795.0,False,,True,True,,,4336422195.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,,2015,Q1,CFS,5499426458.0,,False,,False,False,191790786715.0,4091641612.0,,,False,20150514002716.0,20150514.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,,2015,Q2,CFS,4283659308.0,,False,,False,False,195827059653.0,-11986593395.0,,,False,20150813000964.0,20150813.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,,2015,Q3,CFS,3982378191.0,,False,,False,False,201374498894.0,2025078635.0,,,False,20151116000075.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,,2015,Q4,CFS,10457516555.0,,False,16751999580.0,True,True,206076608904.0,49589447280.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q1,CFS,15873562772.0,5499426458.0,False,,True,True,216032172682.0,-5376346017.0,4091641612.0,-9467987629.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q2,CFS,12896343315.0,4283659308.0,False,,True,True,225626597408.0,-1056246898.0,-11986593395.0,10930346497.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q3,CFS,7231330377.0,3982378191.0,False,,True,True,227693633396.0,-2225865252.0,2025078635.0,-4250943887.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101488,주식회사 경동나비엔,2016,Q4,CFS,9830700304.0,10457516555.0,False,,True,True,238762190243.0,47095627539.0,49589447280.0,-2493819741.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,,2015,Q1,CFS,7758503712.0,,False,,False,False,190186582673.0,5089507106.0,,,False,20150515000051.0,20150515.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,,2015,Q2,CFS,8322683004.0,,False,,False,False,198962278255.0,-3160087564.0,,,False,20150813000650.0,20150813.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,,2015,Q3,CFS,5602841341.0,,False,,False,False,202414003088.0,-1180325280.0,,,False,20151116000278.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,,2015,Q4,CFS,4335468657.0,,False,13277248992.0,True,True,204439578745.0,6412255272.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q1,CFS,7176488273.0,7758503712.0,False,13198530460.0,True,True,202024358865.0,,5089507106.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q2,CFS,6558162724.0,8322683004.0,False,12820865657.0,True,True,205927158824.0,,-3160087564.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q3,CFS,7026616243.0,5602841341.0,False,18477584792.0,True,True,206191217760.0,,-1180325280.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101549,경동제약,2016,Q4,CFS,5514192682.0,4335468657.0,False,16949412043.0,True,True,208571469647.0,,6412255272.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,,2015,Q1,CFS,7932792671.0,,False,,False,False,651413557876.0,4354437360.0,,,False,20150515001125.0,20150515.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,,2015,Q2,CFS,10173583444.0,,False,,False,False,658240025181.0,3329072712.0,,,False,20150817001163.0,20150817.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,,2015,Q3,CFS,9218169827.0,,False,,False,False,661186200190.0,18978146826.0,,,False,20151116001055.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,,2015,Q4,CFS,11636965279.0,,False,16692163219.0,True,True,662952917600.0,13258922868.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q1,CFS,7185874454.0,7932792671.0,False,,True,True,662563977436.0,,4354437360.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q2,CFS,10443005565.0,10173583444.0,False,,True,True,674031401297.0,,3329072712.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q3,CFS,10546938903.0,9218169827.0,False,,True,True,679548714477.0,,18978146826.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101628,(주)경방,2016,Q4,CFS,15260750058.0,11636965279.0,False,,True,True,679843399077.0,18593626694.0,13258922868.0,5334703826.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
