corp_code,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,statement_basis,period_end,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative,capex_ppe_q_spend,capex_intangible_cumulative,capex_intangible_q_spend,capex_q_spend,fcf_q,basis_comparable_to_immediate_predecessor,signal_date_status,source_type,modern_oos_protected
00101549,2015,Q2,20150813000650,20150813,ok,CFS,2015-06-30,16081186716.0,8322683004.0,10362724511.0,5028786426.0,198962278255.0,7933027631.0,313805530.0,5771818489.0,3242103494.0,231789600.0,231789600.0,3473893094.0,-3160087564.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101549,2015,Q3,20151116000278,20151116,ok,CFS,2015-09-30,21684028057.0,5602841341.0,9864071214.0,-498653297.0,202414003088.0,8466427809.0,533400178.0,7320043947.0,1548225458.0,397289600.0,165500000.0,1713725458.0,-1180325280.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101549,2015,Q4,,,ok,CFS,,26019496714.0,4335468657.0,13277248992.0,3413177778.0,204439578745.0,18257173247.0,9790745438.0,10687094113.0,3367050166.0,408729600.0,11440000.0,3378490166.0,6412255272.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00101628,2015,Q1,20150515001125,20150515,ok,CFS,2015-03-31,7932792671.0,7932792671.0,5267195219.0,5267195219.0,651413557876.0,4354437360.0,4354437360.0,0.0,0.0,0.0,0.0,0.0,4354437360.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101628,2015,Q2,20150817001163,20150817,ok,CFS,2015-06-30,18106376115.0,10173583444.0,12070384821.0,6803189602.0,658240025181.0,7683510072.0,3329072712.0,0.0,0.0,0.0,0.0,0.0,3329072712.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101628,2015,Q3,20151116001055,20151116,ok,CFS,2015-09-30,27324545942.0,9218169827.0,14774713026.0,2704328205.0,661186200190.0,26661656898.0,18978146826.0,0.0,0.0,0.0,0.0,0.0,18978146826.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101628,2015,Q4,,,ok,CFS,,38961511221.0,11636965279.0,16692163219.0,1917450193.0,662952917600.0,39920579766.0,13258922868.0,0.0,0.0,0.0,0.0,0.0,13258922868.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00101664,2015,Q1,,,no_receipt,,,,,,,,,,,,,,,,,,,True
00101664,2015,Q2,20150817000564,20150817,ok,OFS,2015-06-30,13711391528.0,,10690153990.0,,108836221703.0,8728619661.0,,0.0,,0.0,,,,False,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101664,2015,Q3,20151116001104,20151116,ok,OFS,2015-09-30,19809819696.0,6098428168.0,15781798613.0,5091644623.0,112964401546.0,9024893834.0,296274173.0,0.0,0.0,0.0,0.0,0.0,296274173.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
