mcap_cap,fcf_min,fcf_yoy_min,n,median,mean,win,ge20,le_m20,years
150000000000.0,7.5,12.5,22,9.635789697066155,14.866528265207291,0.8181818181818182,0.22727272727272727,0.0,3
200000000000.0,7.5,12.5,22,9.635789697066155,14.866528265207291,0.8181818181818182,0.22727272727272727,0.0,3
150000000000.0,0.0,15.0,26,9.635789697066155,16.064580783349427,0.8076923076923077,0.2692307692307692,0.0,3
200000000000.0,0.0,15.0,26,9.635789697066155,16.064580783349427,0.8076923076923077,0.2692307692307692,0.0,3
40000000000.0,0.0,12.5,11,9.562841530054644,19.64352227277165,1.0,0.18181818181818182,0.0,3
80000000000.0,5.0,12.5,21,9.562841530054644,15.596551216309644,0.9523809523809523,0.19047619047619047,0.0,3
80000000000.0,5.0,15.0,17,9.562841530054644,15.056257709647065,0.9411764705882353,0.17647058823529413,0.0,3
60000000000.0,2.5,15.0,13,9.562841530054644,18.594972996817706,0.9230769230769231,0.23076923076923078,0.0,3
80000000000.0,7.5,10.0,23,9.562841530054644,11.977198093466233,0.9130434782608695,0.17391304347826086,0.043478260869565216,3
80000000000.0,7.5,5.0,27,9.562841530054644,14.666745898964598,0.8888888888888888,0.2222222222222222,0.037037037037037035,3
40000000000.0,0.0,5.0,23,9.562841530054644,15.852219997278533,0.8695652173913043,0.21739130434782608,0.0,3
150000000000.0,7.5,15.0,19,9.562841530054644,14.209081121090186,0.8421052631578947,0.21052631578947367,0.0,3
200000000000.0,7.5,15.0,19,9.562841530054644,14.209081121090186,0.8421052631578947,0.21052631578947367,0.0,3
50000000000.0,0.0,5.0,35,9.562841530054644,15.364783982032872,0.8285714285714286,0.2571428571428571,0.0,3
150000000000.0,2.5,12.5,33,9.562841530054644,15.012567810369784,0.8181818181818182,0.24242424242424243,0.0,3
200000000000.0,2.5,12.5,33,9.562841530054644,15.012567810369784,0.8181818181818182,0.24242424242424243,0.0,3
150000000000.0,2.5,15.0,25,9.562841530054644,14.983333279716808,0.8,0.24,0.0,3
200000000000.0,2.5,15.0,25,9.562841530054644,14.983333279716808,0.8,0.24,0.0,3
80000000000.0,10.0,5.0,22,9.51327076232169,11.726184579726516,0.9090909090909091,0.18181818181818182,0.045454545454545456,3
100000000000.0,10.0,5.0,22,9.51327076232169,11.726184579726516,0.9090909090909091,0.18181818181818182,0.045454545454545456,3
80000000000.0,10.0,10.0,20,9.51327076232169,11.157528414292447,0.9,0.15,0.05,3
100000000000.0,10.0,10.0,20,9.51327076232169,11.157528414292447,0.9,0.15,0.05,3
60000000000.0,5.0,10.0,18,9.44032259531018,16.083160821526146,0.9444444444444444,0.16666666666666666,0.0,3
80000000000.0,0.0,10.0,34,9.44032259531018,12.764425509878533,0.9411764705882353,0.20588235294117646,0.029411764705882353,3
80000000000.0,2.5,10.0,32,9.44032259531018,12.17807895977817,0.9375,0.1875,0.03125,3
60000000000.0,5.0,12.5,16,9.44032259531018,17.427112109230723,0.9375,0.1875,0.0,3
60000000000.0,5.0,15.0,12,9.44032259531018,17.27188327243243,0.9166666666666666,0.16666666666666666,0.0,3
60000000000.0,7.5,15.0,12,9.44032259531018,17.27188327243243,0.9166666666666666,0.16666666666666666,0.0,3
150000000000.0,0.0,12.5,36,9.44032259531018,15.162222547180685,0.8333333333333334,0.25,0.0,3
200000000000.0,0.0,12.5,36,9.44032259531018,15.162222547180685,0.8333333333333334,0.25,0.0,3
50000000000.0,5.0,0.0,24,9.44032259531018,16.59881570311033,0.8333333333333334,0.20833333333333334,0.0,3
150000000000.0,5.0,15.0,22,9.44032259531018,13.030922737551315,0.8181818181818182,0.18181818181818182,0.0,3
200000000000.0,5.0,15.0,22,9.44032259531018,13.030922737551315,0.8181818181818182,0.18181818181818182,0.0,3
100000000000.0,5.0,10.0,27,9.317803660565716,11.623084847370878,0.9259259259259259,0.18518518518518517,0.037037037037037035,3
60000000000.0,10.0,15.0,11,9.317803660565716,17.97270524901223,0.9090909090909091,0.18181818181818182,0.0,3
