corp_code,company_name,quarter,op_q,prior_op_q,ni_ttm,equity,fcf_q,fcf_yoy,stock_code,marcap_matched,security_review_status,observed_markets,period,signal_date,signal_receipt_no,signal_report_name,mcap_pre_signal,mcap_date,entry_date,entry_open,adv20,R5,R10,R20,R60,R120,R5_raw,R10_raw,R20_raw,R60_raw,R120_raw,CA_R5,CA_R10,CA_R20,CA_R60,CA_R120,MFE20,MAE20,fcf_pct,fcf_yoy_pct,loss_pct,status
00479705,케스피온,Q1,3061524278.0,-1017292983.0,-10275608332.0,29397749859.0,2462315648.0,7146419503.0,079190,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q1,20190515,20190515002274,분기보고서 (2019.03),88360067660.0,2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,NO_ENTRY
00479787,인텍플러스,Q1,571992433.0,-2207663238.0,-3851587556.0,16985351396.0,-6327046530.0,-4564990188.0,064290,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q1,20190515,20190515000931,분기보고서 (2019.03),63610462080.0,2019-05-14,2019-05-16,5990.0,413906349.5,-4.006677796327207,4.841402337228717,3.6727879799666185,-23.539232053422367,-17.779632721202,-4.006677796327207,4.841402337228717,3.6727879799666185,-23.539232053422367,-17.779632721202,False,False,False,False,False,10.851419031719534,-9.015025041736225,-9.946550179187128,-7.176477011374038,6.054959247357821,OK
00480367,SK오션플랜트,Q3,2405981341.0,-10660580543.0,-38928663546.0,218122469184.0,6056809950.0,21434890455.0,100090,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q3,20191108,20191108000057,분기보고서 (2019.09),127034405000.0,2019-11-07,2019-11-11,4700.0,344445630.5,2.2340425531914843,-0.7446808510638281,-2.2340425531914843,-14.787234042553187,-36.59574468085106,2.2340425531914843,-0.7446808510638281,-2.2340425531914843,-14.787234042553187,-36.59574468085106,False,False,False,False,False,5.000000000000004,-4.255319148936165,4.767850056053712,16.87329543126525,30.644189301315656,OK
00481454,금호타이어,Q2,23997668763.0,-12682759697.0,-137706652367.0,1383907390909.0,627021811.0,99185938656.0,073240,True,MATCHED_COMMON_CANDIDATE,KOSPI,H1,20190814,20190814002882,반기보고서 (2019.06),1199311698225.0,2019-08-13,2019-08-16,4255.0,1549006445.5,-0.9400705052878933,-4.112808460634543,4.700352526439477,-1.762632197414804,-7.050528789659227,-0.9400705052878933,-4.112808460634543,4.700352526439477,-1.762632197414804,-7.050528789659227,False,False,False,False,False,5.052878965922436,-5.875440658049358,0.05228180563301451,8.270238571240215,11.482140345233686,OK
00481454,금호타이어,Q3,15898803178.0,-38046484809.0,-84658254115.0,1372024483492.0,15167544369.0,,073240,True,MATCHED_COMMON_CANDIDATE,KOSPI,Q3,20191114,20191114002707,분기보고서 (2019.09),1200747999660.0,2019-11-13,2019-11-15,4370.0,1061763799.5,-5.263157894736848,-2.8604118993134975,-6.521739130434778,-9.038901601830663,-30.663615560640732,-5.263157894736848,-2.8604118993134975,-6.521739130434778,-9.038901601830663,-30.663615560640732,False,False,False,False,False,0.0,-8.466819221967958,1.2631746522413356,,7.050459725019036,OK
00481454,금호타이어,Q4,32303565408.0,-30357368440.0,-43403023052.0,1292634167173.0,130650655425.0,23943452274.0,073240,True,MATCHED_COMMON_CANDIDATE,KOSPI,FY,20200330,20200330004636,사업보고서 (2019.12),858908258130.0,2020-03-27,2020-03-31,3030.0,2788360986.75,3.7953795379537913,4.290429042904287,1.650165016501659,0.0,32.343234323432334,3.7953795379537913,4.290429042904287,1.650165016501659,0.0,32.343234323432334,False,False,False,False,False,9.24092409240924,-1.980198019801982,15.211246857662111,2.787661202155544,5.0532781168615495,OK
00482426,인화정공,Q1,30724210.0,-1656879850.0,-5287998329.0,137404331053.0,,,101930,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q1,20190515,20190515001356,분기보고서 (2019.03),49924621750.0,2019-05-14,2019-05-16,5490.0,45090032.0,-3.2786885245901676,-8.014571948998183,-5.828779599271405,-19.034608378870676,1.6393442622950838,-3.2786885245901676,-8.014571948998183,-5.828779599271405,-19.034608378870676,1.6393442622950838,False,False,False,False,False,2.0036429872495543,-12.750455373406188,,,10.591964733313178,OK
00482426,인화정공,Q3,1392571762.0,-800310409.0,-6138535375.0,135294813918.0,,,101930,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q3,20191114,20191114001083,분기보고서 (2019.09),53470669650.0,2019-11-13,2019-11-15,5700.0,43871177.0,-3.508771929824561,-4.035087719298247,-2.9824561403508754,-10.701754385964913,-36.929824561403514,-3.508771929824561,-4.035087719298247,-2.9824561403508754,-10.701754385964913,-36.929824561403514,False,False,False,False,False,2.807017543859658,-7.8947368421052655,,,11.480191692343992,OK
00482426,인화정공,Q4,473586875.0,-72197597.0,-8467080367.0,132781551353.0,,,101930,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,FY,20200327,20200327001360,사업보고서 (2019.12),27388554175.0,2020-03-26,2020-03-30,2785.0,94528375.0,13.28545780969479,24.955116696588874,22.441651705565533,57.27109515260322,50.08976660682227,13.28545780969479,24.955116696588874,22.441651705565533,57.27109515260322,50.08976660682227,False,False,False,False,False,26.032315978456012,0.0,,,30.914667174102483,OK
00483735,해성옵틱스,Q1,3556018821.0,-467542299.0,-4665598392.0,52380128068.0,,,076610,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q1,20190515,20190515002074,분기보고서 (2019.03),68034000000.0,2019-05-14,2019-05-16,2440.0,1873696709.5,12.5,18.032786885245898,30.737704918032783,-8.811475409836067,-19.262295081967217,12.5,18.032786885245898,30.737704918032783,-8.811475409836067,-19.262295081967217,False,False,False,False,False,37.704918032786885,-11.270491803278693,,,6.85774523326572,OK
