corp_code,company_name,stock_code,corp_cls,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,source_type,statement_basis,period_end,basis_comparable_to_immediate_predecessor,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative_spend,capex_ppe_q_spend,capex_intangible_cumulative_spend,capex_intangible_q_spend,capex_q_spend,fcf_q,op_pure_method,ni_pure_method,cfo_pure_method,capex_ppe_pure_method,capex_intangible_pure_method,signal_date_status,modern_oos_protected
00104698,LS네트웍스,000680,Y,2015,Q2,20150813001497,20150813,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,-1559459550.0,-2724478793.0,16312071853.0,10274071108.0,782091715430.0,-20840543551.0,20525691051.0,7135411843.0,1233916651.0,12177910.0,2284240.0,1236200891.0,19289490160.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104698,LS네트웍스,000680,Y,2015,Q3,20151113001113,20151113,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,True,-22048313222.0,-20488853672.0,-11298973803.0,-27611045656.0,754376499513.0,-25720806663.0,-4880263112.0,11095411272.0,3959999429.0,173907910.0,161730000.0,4121729429.0,-9001992541.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104698,LS네트웍스,000680,Y,2015,Q4,20160330003368,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,-68390163206.0,-46341849984.0,-75757415518.0,-64458441715.0,689885573698.0,10876463280.0,36597269943.0,13042530347.0,1947119075.0,850283310.0,676375400.0,2623494475.0,33973775468.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104722,국제약품,002720,Y,2015,Q1,20150514001155,20150514,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,1109267964.0,1109267964.0,631360895.0,631360895.0,51411274082.0,-4331477465.0,-4331477465.0,54777820.0,54777820.0,702000.0,702000.0,55479820.0,-4386957285.0,direct_q1,direct_q1,direct_q1,direct_q1,direct_q1,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104722,국제약품,002720,Y,2015,Q2,20150813000550,20150813,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,2427606827.0,1318338863.0,1891161918.0,1259801023.0,74986887881.0,-5813482916.0,-1482005451.0,310624444.0,255846624.0,702000.0,0.0,255846624.0,-1737852075.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104722,국제약품,002720,Y,2015,Q3,20151113000945,20151113,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,True,1961414445.0,-466192382.0,1201608955.0,-689552963.0,75804069516.0,437854313.0,6251337229.0,750275055.0,439650611.0,702000.0,0.0,439650611.0,5811686618.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104722,국제약품,002720,Y,2015,Q4,20160330001531,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,2097892309.0,136477864.0,-5884458866.0,-7086067821.0,68458878528.0,-5080183750.0,-5518038063.0,1181892017.0,431616962.0,702000.0,0.0,431616962.0,-5949655025.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104768,가온전선,000500,Y,2015,Q1,20150515002702,20150515,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,,,307128004.0,307128004.0,262076728966.0,-20096533182.0,-20096533182.0,,,,,,,missing,direct_q1,direct_q1,missing,missing,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104768,가온전선,000500,Y,2015,Q2,20150817000787,20150817,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,,,852764586.0,545636582.0,262588146615.0,-8483730025.0,11612803157.0,,,,,,,missing_immediate_predecessor_or_basis_change,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104768,가온전선,000500,Y,2015,Q3,20151116000947,20151116,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,True,,,3473145883.0,2620381297.0,264700533708.0,10040163494.0,18523893519.0,,,,,,,missing_immediate_predecessor_or_basis_change,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104768,가온전선,000500,Y,2015,Q4,20160330003930,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,,,2135800210.0,-1337345673.0,262579889324.0,36446024167.0,26405860673.0,,,,,,,missing_immediate_predecessor_or_basis_change,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104786,미래아이앤지,007120,Y,2015,Q1,20150515002101,20150515,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,-217639446.0,-217639446.0,686923031.0,686923031.0,38567650530.0,-884178558.0,-884178558.0,,,,,,,direct_q1,direct_q1,direct_q1,missing,missing,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104786,미래아이앤지,007120,Y,2015,Q2,20150813000330,20150813,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,-535017954.0,-317378508.0,1414957003.0,728033972.0,39234265856.0,-424275032.0,459903526.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104786,미래아이앤지,007120,Y,2015,Q3,20151113000974,20151113,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,True,-1141971129.0,-606953175.0,1056216869.0,-358740134.0,39875523122.0,-265263449.0,159011583.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104786,미래아이앤지,007120,Y,2015,Q4,20160330002451,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,-1461588646.0,-319617517.0,1178478335.0,122261466.0,44999006495.0,179548075.0,444811524.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104810,소노스퀘어,007720,K,2015,Q1,20150515002490,20150515,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,-2428434888.0,-2428434888.0,-2013612867.0,-2013612867.0,86968594897.0,-8137454438.0,-8137454438.0,,,,,,,direct_q1,direct_q1,direct_q1,missing,missing,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104810,소노스퀘어,007720,K,2015,Q2,20150817001603,20150817,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,-3399916211.0,-971481323.0,-2989070672.0,-975457805.0,85803275530.0,-4385385622.0,3752068816.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104810,소노스퀘어,007720,K,2015,Q3,20151113001146,20151113,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,True,-3810646954.0,-410730743.0,-5322850879.0,-2333780207.0,83643642603.0,-5463781709.0,-1078396087.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104810,소노스퀘어,007720,K,2015,Q4,20160330002349,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,-4603827884.0,-793180930.0,-5231989522.0,90861357.0,83598573979.0,-4225882821.0,1237898888.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
